,First_Name,Last_Name,Pos,Age,Team
0,Steven,Adams,C,26,Oklahoma City Thunder
1,Bam,Adebayo,PF,22,Miami Heat
2,LaMarcus,Aldridge,C,34,San Antonio Spurs
3,Kyle,Alexander,C,23,Miami Heat
4,Nickeil,Alexander-Walker,SG,21,New Orleans Pelicans
5,Grayson,Allen,SG,24,Memphis Grizzlies
6,Jarrett,Allen,C,21,Brooklyn Nets
7,Kadeem,Allen,PG,27,New York Knicks
8,Al-Farouq,Aminu,PF,29,Orlando Magic
9,Justin,Anderson,SG,26,Brooklyn Nets
10,Kyle,Anderson,SF,26,Memphis Grizzlies
11,Ryan,Anderson,C,31,Houston Rockets
12,Giannis,Antetokounmpo,PF,25,Milwaukee Bucks
13,Kostas,Antetokounmpo,PF,22,Los Angeles Lakers
14,Thanasis,Antetokounmpo,SF,27,Milwaukee Bucks
15,Carmelo,Anthony,PF,35,Portland Trail Blazers
16,OG,Anunoby,SF,22,Toronto Raptors
17,Ryan,Arcidiacono,PG,25,Chicago Bulls
18,Trevor,Ariza,SF,34,0
19,Trevor,Ariza,SF,34,Sacramento Kings
20,Trevor,Ariza,SF,34,Portland Trail Blazers
21,D.J.,Augustin,PG,32,Orlando Magic
22,Deandre,Ayton,C,21,Phoenix Suns
23,Dwayne,Bacon,SG,24,Charlotte Hornets
24,Marvin,Bagley,C,20,Sacramento Kings
25,Lonzo,Ball,PG,22,New Orleans Pelicans
26,Mo,Bamba,C,21,Orlando Magic
27,J.J.,Barea,PG,35,Dallas Mavericks
28,Harrison,Barnes,PF,27,Sacramento Kings
29,RJ,Barrett,SG,19,New York Knicks
30,Will,Barton,SF,29,Denver Nuggets
31,Keita,Bates-Diop,PF-SF,24,0
32,Keita,Bates-Diop,PF,24,Minnesota Timberwolves
33,Keita,Bates-Diop,SF,24,Denver Nuggets
34,Nicolas,Batum,SF,31,Charlotte Hornets
35,Aron,Baynes,C,33,Phoenix Suns
36,Kent,Bazemore,SF,30,0
37,Kent,Bazemore,SF,30,Portland Trail Blazers
38,Kent,Bazemore,SF,30,Sacramento Kings
39,Darius,Bazley,PF,19,Oklahoma City Thunder
40,Bradley,Beal,SG,26,Washington Wizards
41,Malik,Beasley,SG,23,0
42,Malik,Beasley,SG,23,Denver Nuggets
43,Malik,Beasley,SG,23,Minnesota Timberwolves
44,Marco,Belinelli,SG,33,San Antonio Spurs
45,Jordan,Bell,C,25,0
46,Jordan,Bell,C,25,Minnesota Timberwolves
47,Jordan,Bell,C,25,Memphis Grizzlies
48,DeAndre',Bembry,SG,25,Atlanta Hawks
49,Dragan,Bender,PF-C,22,0
50,Dragan,Bender,C,22,Milwaukee Bucks
51,Dragan,Bender,PF,22,Golden State Warriors
52,Player,0,Pos,Age,0
53,Dāvis,Bertāns,PF,27,Washington Wizards
54,Patrick,Beverley,PG,31,Los Angeles Clippers
55,Khem,Birch,C,27,Orlando Magic
56,Goga,Bitadze,C,20,Indiana Pacers
57,Bismack,Biyombo,C,27,Charlotte Hornets
58,Nemanja,Bjelica,PF,31,Sacramento Kings
59,Eric,Bledsoe,PG,30,Milwaukee Bucks
60,Bogdan,Bogdanović,SG,27,Sacramento Kings
61,Bojan,Bogdanović,SF,30,Utah Jazz
62,Bol,Bol,PF,20,Denver Nuggets
63,Jonah,Bolden,C,24,0
64,Jonah,Bolden,C,24,Philadelphia 76ers
65,Jonah,Bolden,C,24,Phoenix Suns
66,Marques,Bolden,C,21,Cleveland Cavaliers
67,Jordan,Bone,PG,22,Detroit Pistons
68,Isaac,Bonga,SF,20,Washington Wizards
69,Devin,Booker,SG,23,Phoenix Suns
70,Chris,Boucher,C,27,Toronto Raptors
71,Brian,Bowen,SF,21,Indiana Pacers
72,Ky,Bowman,PG,22,Golden State Warriors
73,Avery,Bradley,SG,29,Los Angeles Lakers
74,Tony,Bradley,C,22,Utah Jazz
75,Player,0,Pos,Age,0
76,Jarrell,Brantley,PF,23,Utah Jazz
77,Ignas,Brazdeikis,SF,21,New York Knicks
78,Corey,Brewer,PF,33,Sacramento Kings
79,Mikal,Bridges,SF,23,Phoenix Suns
80,Miles,Bridges,SF,21,Charlotte Hornets
81,Oshae,Brissett,SF,21,Toronto Raptors
82,Ryan,Broekhoff,SF,29,Dallas Mavericks
83,Malcolm,Brogdon,PG,27,Indiana Pacers
84,Dillon,Brooks,SG,24,Memphis Grizzlies
85,Bruce,Brown,PG,23,Detroit Pistons
86,Charlie,Brown,SG,22,Atlanta Hawks
87,Jaylen,Brown,SG,23,Boston Celtics
88,Moses,Brown,C,20,Portland Trail Blazers
89,Sterling,Brown,SF,24,Milwaukee Bucks
90,Troy,Brown,SF,20,Washington Wizards
91,Jalen,Brunson,PG,23,Dallas Mavericks
92,Thomas,Bryant,C,22,Washington Wizards
93,Reggie,Bullock,SG,28,New York Knicks
94,Trey,Burke,PG,27,0
95,Trey,Burke,PG,27,Philadelphia 76ers
96,Trey,Burke,PG,27,Dallas Mavericks
97,Alec,Burks,SF-SG,28,0
98,Alec,Burks,SF,28,Golden State Warriors
99,Alec,Burks,SG,28,Philadelphia 76ers
100,Player,0,Pos,Age,0
101,Deonte,Burton,SF,26,Oklahoma City Thunder
102,Jimmy,Butler,SF,30,Miami Heat
103,Bruno,Caboclo,C,24,0
104,Bruno,Caboclo,C,24,Memphis Grizzlies
105,Bruno,Caboclo,C,24,Houston Rockets
106,Devontae,Cacok,C,23,Los Angeles Lakers
107,Kentavious,Caldwell-Pope,SG,26,Los Angeles Lakers
108,Vlatko,Čančar,PF,22,Denver Nuggets
109,Clint,Capela,C,25,Houston Rockets
110,DeMarre,Carroll,SF-C,33,0
111,DeMarre,Carroll,SF,33,San Antonio Spurs
112,DeMarre,Carroll,C,33,Houston Rockets
113,Jevon,Carter,PG,24,Phoenix Suns
114,Vince,Carter,PF,43,Atlanta Hawks
115,Wendell,Carter,C,20,Chicago Bulls
116,Michael,Carter-Williams,SG,28,Orlando Magic
117,Alex,Caruso,PG,25,Los Angeles Lakers
118,Willie,Cauley-Stein,C,26,0
119,Willie,Cauley-Stein,C,26,Golden State Warriors
120,Willie,Cauley-Stein,C,26,Dallas Mavericks
121,Tyson,Chandler,C,37,Houston Rockets
122,Wilson,Chandler,PF,32,Brooklyn Nets
123,Joe,Chealey,PG,24,Charlotte Hornets
