,Team,Arena,Seats,Year,Owner
0,Atlanta Hawks,State Farm Arena,16600,1999,Public
1,Boston Celtics,TD Garden,18624,1995,Private
2,Brooklyn Nets,Barclays Center,17732,2012,Public
3,Charlotte Hornets,Spectrum Center,19077,2005,Public
4,Chicago Bulls,United Center,20917,1994,Private
5,Cleveland Cavaliers,Rocket Mortgage FieldHouse,19432,1994,Public
6,Dallas Mavericks,American Airlines Center,19200,2001,Public
7,Denver Nuggets,Ball Arena,19520,1999,Private
8,Detroit Pistons,Little Caesars Arena,20332,2017,Public
9,Golden State Warriors,Chase Center,18064,2019,Private
10,Houston Rockets,Toyota Center,18055,2003,Public
11,Indiana Pacers,Bankers Life Fieldhouse,17923,1999,Public
12,Los Angeles Clippers,Crypto.com Arena,19060,1999,Private
13,Los Angeles Lakers,Crypto.com Arena,19060,1999,Private
14,Memphis Grizzlies,FedExForum,18119,2004,Public
15,Miami Heat,FTX Arena,19600,1999,Public
16,Milwaukee Bucks,Fiserv Forum,17341,2018,Public
17,Minnesota Timberwolves,Target Center,18798,1990,Public
18,New Orleans Pelicans,Smoothie King Center,16867,1999,Public
19,New York Knicks,Madison Square Garden,19812,1968,Private
20,Oklahoma City Thunder,Paycom Center,18203,2002,Public
21,Orlando Magic,Amway Center,18846,2010,Public
22,Philadelphia 76ers,Wells Fargo Center,20478,1996,Private
23,Phoenix Suns,Footprint Center,18422,1992,Public
24,Portland Trail Blazers,Moda Center,19393,1995,Private
25,Sacramento Kings,Golden 1 Center,17608,2016,Public
26,San Antonio Spurs,AT&T Center,18418,2002,Public
27,Toronto Raptors,Scotiabank Arena,19800,1999,Private
28,Utah Jazz,Vivint Arena,18306,1991,Private
29,Washington Wizards,Capital One Arena,20356,1997,Private
