,Team,Arena,Seats,Year,Owner
0,Atlanta Hawks,State Farm Arena,16600,1999,Public
1,Boston Celtics,TD Garden,18624,1995,Private
2,Brooklyn Nets,Barclays Center,17732,2012,Public
3,Charlotte Hornets,Spectrum Center,19077,2005,Public
4,Chicago Bulls,United Center,20917,1994,Private
5,Cleveland Cavaliers,Rocket Mortgage FieldHouse,19432,1994,Public
6,Dallas Mavericks,American Airlines Center,19200,2001,Public
7,Denver Nuggets,Ball Arena,19520,1999,Private
8,Detroit Pistons,Little Caesars Arena,20332,2017,Public
9,Golden State Warriors,Chase Center,18064,2019,Private
10,Houston Rockets,Toyota Center,18055,2003,Public
11,Indiana Pacers,Bankers Life Fieldhouse,17923,1999,Public
12,Los Angeles Clippers,Crypto.com Arena,19060,1999,Private
13,Los Angeles Lakers,Crypto.com Arena,19060,1999,Private
14,Memphis Grizzlies,FedExForum,18119,2004,Public
15,Miami Heat,FTX Arena,19600,1999,Public
