,W,L,W/L%,PS/G,PA/G,SRS,Team
0,53,19,0.736,112.8,106.5,5.97,Toronto Raptors
1,48,24,0.667,113.7,107.3,5.83,Boston Celtics
2,43,30,0.589,110.7,108.4,2.25,Philadelphia 76ers
3,35,37,0.486,111.8,112.3,-1.01,Brooklyn Nets
4,21,45,0.318,105.8,112.3,-6.72,New York Knicks
5,56,17,0.767,118.7,108.6,9.41,Milwaukee Bucks
6,45,28,0.616,109.4,107.5,1.63,Indiana Pacers
7,22,43,0.338,106.8,109.9,-4,Chicago Bulls
8,20,46,0.303,107.2,110.8,-4.38,Detroit Pistons
9,19,46,0.292,106.9,114.8,-7.77,Cleveland Cavaliers
10,44,29,0.603,112,109.1,2.59,Miami Heat
11,33,40,0.452,107.3,108.3,-0.93,Orlando Magic
12,23,42,0.354,102.9,109.6,-7.03,Charlotte Hornets
13,25,47,0.347,114.4,119.1,-5.24,Washington Wizards
14,20,47,0.299,111.8,119.7,-7.71,Atlanta Hawks
